afile	alang	akorp	astatus	sentlength	ppron	possdet	indef	cconj	whconj	relativ	pied	correl	copula	attrib	pasttense	lexdens	lexTTR	mquantif	mpred	finites	infs	pverbals	deverbals	bypassives	longpassives	sconj	addit	advers	caus	tempseq	epist	but	comp	sup	neg	numcls	simple	demdets	nnargs	mhd	mdd	acl	aux	aux:pass	ccomp	nsubj:pass	parataxis	xcomp
00001	en	preprocessed	L2	24.227272727272727	0.03564727954971857	0.020637898686679174	0.001876172607879925	0.9090909090909091	0.045454545454545456	0.36363636363636365	0.09090909090909091	0.0	0.18181818181818182	1.2727272727272727	0.2727272727272727	0.450281425891182	0.8791208791208791	0.0	0.18181818181818182	0.6883116883116883	0.09090909090909091	0.025974025974025976	0.1038961038961039	0.045454545454545456	0.045454545454545456	0.7272727272727273	0.22727272727272727	0.045454545454545456	0.36363636363636365	0.045454545454545456	0.045454545454545456	0.18181818181818182	0.1864406779661017	0.0	0.09090909090909091	2.090909090909091	0.3181818181818182	0.0300187617260788	0.618421052631579	3.593808755749737	1.4813674905288685	0.06818181818181818	0.41536796536796533	0.012987012987012986	0.029220779220779217	0.006493506493506493	0.018181818181818184	0.3132034632034632
00003	en	preprocessed	L2	28.071428571428573	0.0916030534351145	0.020356234096692113	0.0	1.0714285714285714	0.42857142857142855	0.14285714285714285	0.0	0.0	0.21428571428571427	1.0714285714285714	1.5714285714285714	0.43256997455470736	0.9289617486338798	0.0	0.14285714285714285	0.6206896551724138	0.13793103448275862	0.034482758620689655	0.0	0.07142857142857142	0.0	0.7142857142857143	0.21428571428571427	0.07142857142857142	0.14285714285714285	0.35714285714285715	0.07142857142857142	0.07142857142857142	0.04	0.12	0.42857142857142855	2.2857142857142856	0.14285714285714285	0.007633587786259542	0.3898305084745763	3.4615071400901796	1.617488432066331	0.2166666666666667	0.3321428571428572	0.03571428571428571	0.028571428571428574	0.03571428571428571	0.017857142857142856	0.2619047619047619
00005	en	preprocessed	L2	16.40909090909091	0.04986149584487535	0.01662049861495845	0.0	0.5454545454545454	0.0	0.045454545454545456	0.0	0.0	0.5454545454545454	0.7727272727272727	0.5909090909090909	0.43213296398891965	0.9936305732484076	0.0	0.45454545454545453	0.7142857142857143	0.16666666666666666	0.09523809523809523	0.21428571428571427	0.0	0.13636363636363635	0.36363636363636365	0.13636363636363635	0.045454545454545456	0.09090909090909091	0.13636363636363635	0.045454545454545456	0.0	0.09302325581395349	0.046511627906976744	0.09090909090909091	1.0454545454545454	0.4090909090909091	0.008310249307479225	0.34285714285714286	3.0999175111875648	1.3719511333882992	0.10757575757575757	0.39545454545454545	0.03787878787878787	0.009090909090909092	0.0303030303030303	0.022727272727272728	0.1696969696969697
00006	en	preprocessed	L2	15.733333333333333	0.05508474576271186	0.00847457627118644	0.01694915254237288	0.7333333333333333	0.0	0.0	0.0	0.0	0.26666666666666666	0.5333333333333333	0.0	0.4576271186440678	0.9391304347826087	0.0	0.5333333333333333	0.9393939393939394	0.030303030303030304	0.030303030303030304	0.15151515151515152	0.0	0.0	0.7333333333333333	0.2	0.06666666666666667	0.13333333333333333	0.0	0.0	0.2	0.21875	0.0	0.2	0.9333333333333333	0.4666666666666667	0.00847457627118644	0.5952380952380952	2.6915269749763184	1.1793831138020847	0.0	0.36666666666666664	0.0	0.05	0.0	0.08888888888888888	0.09444444444444443
00007	en	preprocessed	L2	19.42105263157895	0.05962059620596206	0.005420054200542005	0.0027100271002710027	0.9473684210526315	0.0	0.15789473684210525	0.0	0.0	0.5263157894736842	1.368421052631579	0.42105263157894735	0.46883468834688347	0.9301075268817204	0.0	0.2631578947368421	0.8	0.09090909090909091	0.03636363636363636	0.05454545454545454	0.05263157894736842	0.10526315789473684	1.0	0.05263157894736842	0.10526315789473684	0.2631578947368421	0.0	0.0	0.05263157894736842	0.01818181818181818	0.0	0.05263157894736842	1.105263157894737	0.3157894736842105	0.01084010840108401	0.6231884057971014	3.2718672189299984	1.4719359830726961	0.10526315789473684	0.2894736842105263	0.07894736842105263	0.05263157894736842	0.05263157894736842	0.10526315789473684	0.05263157894736842
00008	en	preprocessed	L2	18.944444444444443	0.026392961876832845	0.008797653958944282	0.0	0.6666666666666666	0.1111111111111111	0.4444444444444444	0.1111111111111111	0.0	0.7222222222222222	0.7777777777777778	1.0555555555555556	0.4398826979472141	0.967741935483871	0.0	0.5555555555555556	0.9069767441860465	0.09302325581395349	0.046511627906976744	0.023255813953488372	0.1111111111111111	0.05555555555555555	0.6666666666666666	0.1111111111111111	0.0	0.05555555555555555	0.05555555555555555	0.05555555555555555	0.16666666666666666	0.0	0.0425531914893617	0.16666666666666666	1.5	0.2777777777777778	0.005865102639296188	0.6111111111111112	3.2945460781935862	1.5146033761709425	0.14867724867724866	0.2154761904761905	0.04351851851851851	0.1671957671957672	0.04351851851851851	0.040343915343915335	0.11904761904761904
00009	en	preprocessed	L2	51.875	0.060240963855421686	0.004819277108433735	0.0024096385542168677	2.5	0.375	1.0	0.0	0.0	2.25	1.25	0.375	0.3325301204819277	0.8023255813953488	0.0	0.875	0.9591836734693877	0.22448979591836735	0.02040816326530612	0.08163265306122448	0.0	0.125	1.75	0.375	0.0	0.625	0.0	0.125	0.5	0.12244897959183673	0.0	1.125	5.125	0.125	0.016867469879518072	0.547945205479452	3.939910934256166	2.099410223920896	0.05	0.4916666666666667	0.041666666666666664	0.0875	0.0	0.1125	0.21666666666666667
00010	en	preprocessed	L2	21.53846153846154	0.1	0.007142857142857143	0.010714285714285714	0.8461538461538461	0.15384615384615385	0.46153846153846156	0.0	0.0	0.6153846153846154	0.3076923076923077	0.6923076923076923	0.3821428571428571	0.9145299145299145	0.0	0.0	0.9743589743589743	0.1282051282051282	0.0	0.02564102564102564	0.0	0.07692307692307693	0.6923076923076923	0.07692307692307693	0.15384615384615385	0.07692307692307693	0.07692307692307693	0.15384615384615385	0.15384615384615385	0.22580645161290322	0.0	0.15384615384615385	1.6923076923076923	0.38461538461538464	0.0035714285714285713	0.3695652173913043	3.205004900143635	1.2550476413461986	0.0923076923076923	0.24615384615384617	0.038461538461538464	0.14615384615384613	0.038461538461538464	0.015384615384615385	0.038461538461538464
00011	en	preprocessed	L2	22.76923076923077	0.06418918918918919	0.037162162162162164	0.0033783783783783786	0.5384615384615384	0.23076923076923078	0.3076923076923077	0.0	0.0	0.38461538461538464	1.3076923076923077	0.23076923076923078	0.4527027027027027	0.9781021897810219	0.0	0.15384615384615385	0.8717948717948718	0.1282051282051282	0.0	0.05128205128205128	0.0	0.07692307692307693	0.7692307692307693	0.07692307692307693	0.23076923076923078	0.15384615384615385	0.07692307692307693	0.15384615384615385	0.07692307692307693	0.08108108108108109	0.02702702702702703	0.23076923076923078	1.6153846153846154	0.23076923076923078	0.02364864864864865	0.5454545454545454	3.7763325248750355	1.4358663771464437	0.14102564102564102	0.37179487179487175	0.019230769230769232	0.20512820512820512	0.019230769230769232	0.0	0.08974358974358973
00012	en	preprocessed	L2	21.866666666666667	0.054878048780487805	0.006097560975609756	0.006097560975609756	0.6666666666666666	0.13333333333333333	0.26666666666666666	0.0	0.0	0.2	2.066666666666667	0.6666666666666666	0.4573170731707317	0.9433962264150944	0.0	0.26666666666666666	0.7727272727272727	0.022727272727272728	0.022727272727272728	0.20454545454545456	0.0	0.13333333333333333	0.6	0.06666666666666667	0.13333333333333333	0.26666666666666666	0.2	0.26666666666666666	0.13333333333333333	0.15	0.06666666666666667	0.4	1.4666666666666666	0.26666666666666666	0.009146341463414634	0.5208333333333334	3.5866278139645016	1.3805202079768644	0.013333333333333334	0.4577777777777778	0.04666666666666666	0.16666666666666666	0.013333333333333334	0.035555555555555556	0.06666666666666667
00013	en	preprocessed	L2	21.46153846153846	0.07885304659498207	0.03942652329749104	0.0	0.8461538461538461	0.23076923076923078	0.07692307692307693	0.0	0.0	0.7692307692307693	1.2307692307692308	0.15384615384615385	0.45878136200716846	0.9696969696969697	0.0	0.23076923076923078	1.0	0.18181818181818182	0.0	0.0	0.0	0.0	0.3076923076923077	0.38461538461538464	0.0	0.15384615384615385	0.0	0.07692307692307693	0.07692307692307693	0.0196078431372549	0.0196078431372549	0.8461538461538461	1.5384615384615385	0.3076923076923077	0.007168458781362007	0.43902439024390244	3.0449438677024805	1.5740033365063135	0.15384615384615385	0.36217948717948717	0.0	0.1346153846153846	0.0	0.044871794871794865	0.22756410256410253
00014	en	preprocessed	L2	23.8	0.037815126050420166	0.012605042016806723	0.004201680672268907	0.4	0.0	0.6	0.1	0.0	0.7	0.9	0.2	0.40336134453781514	0.9795918367346939	0.0	0.2	0.7241379310344828	0.3103448275862069	0.0	0.06896551724137931	0.1	0.1	0.5	0.0	0.2	0.2	0.2	0.0	0.0	0.0	0.07407407407407407	0.4	2.3	0.1	0.012605042016806723	0.5161290322580645	3.4580589826839825	1.5629161255411252	0.13333333333333333	0.4583333333333333	0.05	0.0	0.025	0.025	0.3083333333333333
00015	en	preprocessed	L2	23.53846153846154	0.08169934640522876	0.006535947712418301	0.0	0.3076923076923077	0.15384615384615385	0.3076923076923077	0.0	0.0	0.38461538461538464	0.8461538461538461	0.38461538461538464	0.4411764705882353	0.9574468085106383	0.0	0.6153846153846154	0.9090909090909091	0.21212121212121213	0.0	0.06060606060606061	0.0	0.07692307692307693	0.6153846153846154	0.3076923076923077	0.0	0.15384615384615385	0.46153846153846156	0.07692307692307693	0.0	0.18181818181818182	0.0	0.0	2.230769230769231	0.07692307692307693	0.006535947712418301	0.4489795918367347	3.3783379706397607	1.3556235892553028	0.0	0.3269230769230769	0.019230769230769232	0.07692307692307693	0.019230769230769232	0.02564102564102564	0.37820512820512814
00016	en	preprocessed	L2	17.238095238095237	0.11049723756906077	0.016574585635359115	0.0	0.6666666666666666	0.09523809523809523	0.3333333333333333	0.0	0.0	0.38095238095238093	0.7619047619047619	0.19047619047619047	0.40331491712707185	0.9798657718120806	0.0	0.3333333333333333	0.7413793103448276	0.15517241379310345	0.05172413793103448	0.06896551724137931	0.0	0.0	0.6190476190476191	0.047619047619047616	0.0	0.09523809523809523	0.047619047619047616	0.19047619047619047	0.09523809523809523	0.0851063829787234	0.02127659574468085	0.14285714285714285	1.5238095238095237	0.19047619047619047	0.0055248618784530384	0.29577464788732394	3.269064516378942	1.3291179848007582	0.11904761904761904	0.32063492063492066	0.0	0.14444444444444443	0.0	0.0	0.273015873015873
00017	en	preprocessed	L2	25.307692307692307	0.03343465045592705	0.00911854103343465	0.0	1.0769230769230769	0.0	0.15384615384615385	0.0	0.0	1.5384615384615385	2.5384615384615383	0.38461538461538464	0.47416413373860183	0.9341317365269461	0.0	0.5384615384615384	0.8648648648648649	0.2972972972972973	0.02702702702702703	0.1891891891891892	0.0	0.07692307692307693	0.7692307692307693	0.3076923076923077	0.07692307692307693	0.3076923076923077	0.07692307692307693	0.3076923076923077	0.07692307692307693	0.03389830508474576	0.06779661016949153	0.15384615384615385	2.4615384615384617	0.07692307692307693	0.015197568389057751	0.6829268292682927	3.5073839636157405	1.6404969571261785	0.2205128205128205	0.3358974358974359	0.02564102564102564	0.0	0.0	0.038461538461538464	0.3025641025641026
00018	en	preprocessed	L2	15.4375	0.06882591093117409	0.016194331983805668	0.0	0.625	0.0	0.0625	0.0	0.0	0.1875	0.875	0.625	0.44534412955465585	0.9243697478991597	0.0	0.1875	0.8611111111111112	0.1111111111111111	0.0	0.027777777777777776	0.0	0.0	0.3125	0.0625	0.0625	0.0625	0.0	0.0625	0.0625	0.15151515151515152	0.0	0.25	0.6875	0.5625	0.02834008097165992	0.6078431372549019	3.003770246142569	1.0440432274371694	0.03125	0.28125	0.0	0.09375	0.0	0.0	0.09375
